#	선수명	팀명	승	패	세	홀드	블론	경기	선발	이닝	삼진/9	볼넷/9	홈런/9	BABIP	LOB%	ERA	RA9-WAR	FIP	kFIP	WAR
1	양현종	KIA	16	8	0	0	0	29	29	184.2	7.94	1.61	0.29	0.303	75.2	2.29	8.76	2.63	2.43	7.43
2	린드블럼	두산	20	3	0	0	0	30	30	194.2	8.74	1.34	0.60	0.285	78.7	2.50	8.12	2.87	2.59	7.26
3	김광현	SK	17	6	0	0	0	31	30	190.1	8.51	1.80	0.61	0.338	79.2	2.51	6.98	3.01	2.77	6.66
4	산체스	SK	17	5	0	0	0	28	28	165.0	8.07	2.29	0.11	0.314	74.9	2.62	7.18	2.56	2.38	6.54
5	윌슨	LG	14	7	0	0	0	30	30	185.0	6.66	2.14	0.34	0.294	68.8	2.92	6.08	3.27	3.23	5.33
6	요키시	Hero	13	9	0	0	0	30	30	181.1	7.00	1.94	0.45	0.290	70.8	3.13	6.17	3.32	3.25	5.10
7	서폴드	한화	12	11	0	0	0	31	31	192.1	6.32	2.53	0.37	0.305	69.9	3.51	5.88	3.49	3.49	4.73
8	켈리	LG	14	12	0	0	0	29	29	180.1	6.29	2.05	0.35	0.284	71.5	2.55	6.19	3.46	3.47	4.45
9	브리검	Hero	13	5	0	0	0	28	28	158.1	7.39	2.61	0.28	0.303	72.4	2.96	4.74	3.27	3.19	4.45
10	최원태	Hero	11	5	0	0	0	27	27	157.1	6.01	2.06	0.29	0.314	69.3	3.38	4.76	3.26	3.27	4.25
11	레일리	롯데	5	14	0	0	0	30	30	181.0	6.96	3.23	0.50	0.323	70.4	3.88	3.97	3.76	3.74	3.86
12	후랭코프	두산	9	8	0	0	0	22	22	117.1	8.51	2.30	0.38	0.315	71.9	3.61	3.59	3.14	2.96	3.69
13	루친스키	NC	9	9	0	0	0	30	30	177.1	6.04	2.28	0.66	0.281	75.3	3.05	6.53	3.96	3.99	3.56
14	채드벨	한화	11	10	0	0	0	29	29	177.1	6.80	3.20	0.71	0.300	76.0	3.50	6.00	4.15	4.14	2.96
15	알칸타라	KT	11	11	0	0	0	27	27	172.2	5.21	1.41	0.78	0.307	70.9	4.01	4.34	3.98	4.04	2.86
16	다익손	롯데	6	10	0	0	0	29	28	149.1	7.05	2.41	0.90	0.319	68.3	4.34	2.05	4.04	3.97	2.83
17	윌랜드	KIA	8	10	0	0	0	28	28	165.0	7.47	3.22	0.93	0.347	69.2	4.75	2.65	4.22	4.14	2.80
18	구창모	NC	10	7	0	1	0	23	19	107.0	9.59	3.45	0.84	0.273	78.0	3.20	3.60	3.80	3.55	2.61
19	헤일리	삼성	5	8	0	0	0	19	19	87.2	8.62	3.49	0.51	0.353	59.4	5.75	0.80	3.59	3.44	2.56
20	이재학	NC	10	4	0	0	0	24	23	129.2	6.32	2.98	0.42	0.310	69.6	3.82	2.79	3.80	3.84	2.53
21	차우찬	LG	13	8	0	0	0	29	28	168.1	6.63	3.15	0.86	0.315	71.0	4.12	3.48	4.30	4.30	2.51
22	이영하	두산	17	4	0	0	0	29	27	163.1	4.96	3.36	0.28	0.273	70.3	3.64	5.61	3.98	4.15	2.51
23	쿠에바스	KT	13	10	0	0	0	30	30	184.0	6.60	3.08	0.88	0.257	73.0	3.62	5.61	4.43	4.44	2.41
24	유희관	두산	11	8	0	0	0	28	27	166.1	3.46	2.27	0.43	0.286	72.8	3.25	5.54	4.01	4.25	2.37
25	터너	KIA	7	13	0	0	0	28	28	153.1	7.10	3.40	0.70	0.331	62.0	5.46	1.17	4.31	4.31	2.36
26	장민재	한화	6	8	0	0	0	26	22	119.1	7.77	2.04	1.06	0.362	65.5	5.43	0.76	4.03	3.88	2.29
27	소사	SK	9	3	0	0	0	16	16	94.1	9.16	2.19	1.43	0.281	76.4	3.82	3.06	4.23	3.94	2.28
28	이용찬*	두산	7	10	0	0	0	26	26	148.1	6.19	2.73	0.91	0.321	72.7	4.07	3.04	4.31	4.33	2.22
29	최채흥	삼성	6	6	0	2	1	28	15	106.2	7.51	3.04	0.84	0.346	64.7	4.81	1.00	3.96	3.86	2.12
30	배제성	KT	10	10	0	0	0	28	21	131.2	6.22	3.83	0.41	0.311	72.8	3.76	3.98	3.95	4.01	2.08
31	라이블리	삼성	4	4	0	0	0	9	9	57.0	9.16	2.05	0.63	0.307	67.8	3.95	2.05	3.22	2.97	2.06
32	장시환	롯데	6	13	0	0	0	27	27	125.1	7.83	4.16	0.86	0.351	67.8	4.95	1.95	4.32	4.23	1.94
33	박진우	NC	9	7	0	5	0	41	18	140.2	5.89	1.86	0.58	0.293	76.6	3.14	4.85	3.95	4.02	1.88
34	프리드릭	NC	7	4	0	0	0	12	12	72.0	7.00	2.75	0.50	0.284	80.1	2.75	3.20	3.57	3.51	1.75
35	서진용	SK	3	1	4	33	1	72	0	68.0	10.06	3.71	0.26	0.302	79.8	2.38	3.28	2.69	2.37	1.66
36	톰슨	롯데	2	3	0	0	0	11	11	62.2	8.62	3.30	0.57	0.287	61.5	4.74	1.45	3.66	3.50	1.48
37	이승호	Hero	8	5	0	0	0	23	23	122.2	6.02	3.74	0.73	0.321	67.4	4.48	2.09	4.39	4.46	1.48
