,W,L,PCT,GB,HOME,AWAY,RS,RA,DIFF
LA Angels,98,64,0.605,-,52-29,46-35,773,630,143
Baltimore Orioles,96,66,0.593,2,50-31,46-35,705,593,112
Washington Nationals,96,66,0.593,2,51-30,45-36,686,555,131
LA Dodgers,94,68,0.58,4,45-36,49-32,718,617,101
Detroit Tigers,90,72,0.556,8,45-36,45-36,757,705,52
St.Louis Cardinals,90,72,0.556,8,51-30,39-42,619,603,16
KC Royals,89,73,0.549,9,42-39,47-34,651,624,27
Pittsburgh Pirates,88,74,0.543,10,51-30,37-44,682,631,51
San Francisco Giants,88,74,0.543,10,45-36,43-38,665,614,51
Oakland Athletics,88,74,0.543,10,48-33,40-41,729,572,157
Seattle Mariners,87,75,0.537,11,41-40,46-35,634,554,80
Cleveland Indians,85,77,0.525,13,48-33,37-44,669,653,16
NY Yankees,84,78,0.519,14,43-38,41-40,633,664,-31
Toronto Blue Jays,83,79,0.512,15,46-35,37-44,723,686,37
Milwaukee Brewers,82,80,0.506,16,42-39,40-41,650,657,-7
NY Mets,79,83,0.488,19,40-41,39-42,629,618,11
Atlanta Braves,79,83,0.488,19,42-39,37-44,573,597,-24
San Diego Padres,77,85,0.475,21,48-33,29-52,535,577,-42
Miami Marlins,77,85,0.475,21,42-39,35-46,645,674,-29
TB Rays,77,85,0.475,21,36-45,41-40,612,625,-13
Cincinnati Reds,76,86,0.469,22,44-37,32-49,595,612,-17
Chicago White Sox,73,89,0.451,25,40-41,33-48,660,758,-98
Philadelphia Phillies,73,89,0.451,25,37-44,36-45,619,687,-68
Chicago Cubs,73,89,0.451,25,41-40,32-49,614,707,-93
Boston Red Sox,71,91,0.438,27,34-47,37-44,634,715,-81
Houston Astros,70,92,0.432,28,38-43,32-49,629,723,-94
Minnesota Twins,70,92,0.432,28,35-46,35-46,715,777,-62
Texas Rangers,67,95,0.414,31,33-48,34-47,637,773,-136
Colorado Rockies,66,96,0.407,32,45-36,21-60,755,818,-63
Arizona Diamondbacks,64,98,0.395,34,33-48,31-50,615,742,-127
